Kod,Date,Value
201000,2011,"0,9"
202000,2011,"7,6"
203000,2011,"1,2"
204000,2011,"0,0"
205000,2011,"0,0"
208000,2011,"0,6"
209000,2011,"1,1"
211000,2011,"1,7"
212000,2011,"1,6"
213000,2011,"1,3"
214000,2011,"1,0"
215000,2011,"0,0"
216000,2011,"1,0"
217000,2011,"0,4"
218000,2011,"0,1"
219000,2011,"0,9"
220000,2011,"0,3"
221000,2011,"0,2"
222000,2011,"2,4"
223000,2011,"0,4"
224000,2011,"0,3"
225000,2011,"1,4"
226000,2011,"6,6"
261000,2011,"4,2"
262000,2011,"2,7"
264000,2011,"3,1"
265000,2011,
401000,2011,"1,0"
402000,2011,"0,5"
403000,2011,"5,4"
404000,2011,"1,3"
405000,2011,"2,9"
406000,2011,"1,1"
407000,2011,"2,1"
408000,2011,"0,0"
409000,2011,"1,7"
410000,2011,"0,1"
411000,2011,"0,0"
412000,2011,"0,0"
413000,2011,"2,9"
414000,2011,"1,1"
415000,2011,"8,4"
416000,2011,"1,5"
417000,2011,"0,3"
418000,2011,"0,4"
419000,2011,"0,8"
461000,2011,"1,8"
462000,2011,"3,2"
463000,2011,"3,0"
464000,2011,"3,2"
601000,2011,"2,7"
602000,2011,"0,6"
603000,2011,"0,4"
604000,2011,"0,2"
605000,2011,"0,3"
606000,2011,"0,1"
607000,2011,"0,8"
608000,2011,"0,4"
609000,2011,"0,1"
610000,2011,"1,2"
611000,2011,"1,1"
612000,2011,"0,1"
613000,2011,"0,0"
614000,2011,"1,9"
615000,2011,"0,8"
616000,2011,"1,7"
617000,2011,"0,6"
618000,2011,"3,4"
619000,2011,"1,9"
620000,2011,"0,0"
661000,2011,"0,6"
662000,2011,"0,9"
663000,2011,"1,7"
664000,2011,"4,2"
801000,2011,"7,7"
802000,2011,"5,1"
803000,2011,"0,4"
804000,2011,"0,2"
805000,2011,"4,3"
806000,2011,"3,1"
807000,2011,"6,5"
808000,2011,"0,9"
809000,2011,"2,4"
810000,2011,"0,8"
811000,2011,"2,1"
812000,2011,"0,5"
861000,2011,"1,5"
862000,2011,"3,2"
1001000,2011,"7,8"
1002000,2011,"1,6"
1003000,2011,"1,8"
1004000,2011,"0,0"
1005000,2011,"0,0"
1006000,2011,"0,9"
1007000,2011,"0,9"
1008000,2011,"0,3"
1009000,2011,"2,5"
1010000,2011,"0,0"
1011000,2011,"0,6"
1012000,2011,"0,3"
1013000,2011,"0,0"
1014000,2011,"0,1"
1015000,2011,"0,7"
1016000,2011,"0,0"
1017000,2011,"0,0"
1018000,2011,"0,2"
1019000,2011,"4,3"
1020000,2011,"0,4"
1021000,2011,"0,0"
1061000,2011,"1,0"
1062000,2011,"1,3"
1063000,2011,"2,9"
1201000,2011,"0,2"
1202000,2011,"0,0"
1203000,2011,"0,2"
1204000,2011,"0,0"
1205000,2011,"0,0"
1206000,2011,"0,0"
1208000,2011,"0,0"
1209000,2011,"0,1"
1210000,2011,"0,1"
1211000,2011,"0,4"
1212000,2011,"0,0"
1213000,2011,"0,3"
1214000,2011,"0,0"
1215000,2011,"0,2"
1216000,2011,"0,1"
1217000,2011,"0,2"
1218000,2011,"0,0"
1219000,2011,"0,4"
1261000,2011,"1,4"
1262000,2011,"0,8"
1263000,2011,"4,5"
1401000,2011,"1,4"
1402000,2011,"0,8"
1403000,2011,"0,6"
1404000,2011,"2,4"
1405000,2011,"0,7"
1406000,2011,"0,3"
1407000,2011,"0,8"
1408000,2011,"1,4"
1409000,2011,"0,0"
1410000,2011,"0,0"
1411000,2011,"0,0"
1412000,2011,"0,6"
1413000,2011,"1,9"
1414000,2011,"3,4"
1415000,2011,"3,2"
1416000,2011,"6,5"
1417000,2011,"1,3"
1418000,2011,"1,1"
1419000,2011,"1,4"
1420000,2011,"1,3"
1421000,2011,"0,8"
1422000,2011,"1,3"
1423000,2011,"0,4"
1424000,2011,"0,0"
1425000,2011,"1,0"
1426000,2011,"0,7"
1427000,2011,"0,1"
1428000,2011,"0,8"
1429000,2011,"0,7"
1430000,2011,"0,0"
1432000,2011,"1,9"
1433000,2011,"1,4"
1434000,2011,"1,2"
1435000,2011,"2,7"
1436000,2011,"0,4"
1437000,2011,"0,9"
1438000,2011,"0,9"
1461000,2011,"3,0"
1462000,2011,"1,0"
1463000,2011,"1,1"
1464000,2011,"3,3"
1465000,2011,"1,7"
1601000,2011,"0,0"
1602000,2011,"0,0"
1603000,2011,"1,8"
1604000,2011,"0,1"
1605000,2011,"7,6"
1606000,2011,"0,7"
1607000,2011,"3,2"
1608000,2011,"0,6"
1609000,2011,"2,9"
1610000,2011,"0,6"
1611000,2011,"7,8"
1661000,2011,"2,3"
1802000,2011,"0,0"
1803000,2011,"0,7"
1804000,2011,"0,0"
1805000,2011,"0,0"
1806000,2011,"0,0"
1808000,2011,"0,2"
1809000,2011,"0,0"
1810000,2011,"0,0"
1811000,2011,"1,7"
1812000,2011,"0,0"
1813000,2011,"0,2"
1815000,2011,"0,1"
1816000,2011,"0,3"
1818000,2011,"2,1"
1819000,2011,"0,0"
1820000,2011,"0,0"
1821000,2011,"9,3"
1861000,2011,"2,9"
1862000,2011,"1,1"
1863000,2011,"3,7"
1864000,2011,"2,1"
2001000,2011,"3,0"
2002000,2011,"1,4"
2003000,2011,"1,5"
2004000,2011,"0,9"
2005000,2011,"1,0"
2006000,2011,"0,5"
2007000,2011,"0,0"
2009000,2011,"0,0"
2010000,2011,"0,3"
2011000,2011,"0,0"
2012000,2011,"0,2"
2013000,2011,"0,0"
2014000,2011,"0,6"
2061000,2011,"2,2"
2062000,2011,"1,9"
2063000,2011,"5,8"
2201000,2011,"3,1"
2202000,2011,"1,9"
2203000,2011,"5,2"
2204000,2011,"2,5"
2205000,2011,"0,0"
2206000,2011,"3,1"
2207000,2011,"3,6"
2208000,2011,"2,4"
2209000,2011,"1,7"
2210000,2011,"0,6"
2211000,2011,"5,1"
2212000,2011,"3,4"
2213000,2011,"1,8"
2214000,2011,"1,1"
2215000,2011,"1,2"
2216000,2011,"2,7"
2261000,2011,"2,0"
2262000,2011,"1,5"
2263000,2011,"2,8"
2264000,2011,"3,6"
2401000,2011,"2,0"
2402000,2011,"0,8"
2403000,2011,"1,6"
2404000,2011,"1,1"
2405000,2011,"0,1"
2406000,2011,"0,3"
2407000,2011,"3,3"
2408000,2011,"0,0"
2409000,2011,"0,2"
2410000,2011,"0,3"
2411000,2011,"0,8"
2412000,2011,"0,2"
2413000,2011,"0,7"
2414000,2011,"2,5"
2415000,2011,"0,8"
2416000,2011,"1,7"
2417000,2011,"0,1"
2461000,2011,"1,0"
2462000,2011,"0,3"
2463000,2011,"1,3"
2464000,2011,"1,5"
2465000,2011,"0,2"
2466000,2011,"5,0"
2467000,2011,"1,6"
2468000,2011,"0,9"
2469000,2011,"1,6"
2470000,2011,"0,1"
2471000,2011,"0,0"
2472000,2011,"0,3"
2473000,2011,"5,0"
2474000,2011,"0,0"
2475000,2011,"0,5"
2476000,2011,"0,0"
2477000,2011,"2,2"
2478000,2011,"0,5"
2479000,2011,"0,2"
2601000,2011,"0,4"
2602000,2011,"0,5"
2603000,2011,"0,0"
2604000,2011,"1,2"
2605000,2011,"0,4"
2606000,2011,"0,0"
2607000,2011,"2,6"
2609000,2011,"0,0"
2610000,2011,"0,4"
2611000,2011,"0,5"
2612000,2011,"1,1"
2613000,2011,"0,1"
2661000,2011,"0,8"
2801000,2011,"0,1"
2802000,2011,"0,0"
2803000,2011,"0,2"
2804000,2011,"0,6"
2805000,2011,"1,1"
2806000,2011,"1,4"
2807000,2011,"2,8"
2808000,2011,"0,5"
2809000,2011,"1,2"
2810000,2011,"1,5"
2811000,2011,"3,5"
2812000,2011,"0,3"
2813000,2011,"0,8"
2814000,2011,"0,7"
2815000,2011,"0,1"
2816000,2011,"7,2"
2817000,2011,"1,3"
2818000,2011,"0,9"
2819000,2011,"0,0"
2861000,2011,"2,8"
2862000,2011,"1,8"
3001000,2011,"1,2"
3002000,2011,"2,4"
3003000,2011,"1,8"
3004000,2011,"2,5"
3005000,2011,"2,9"
3006000,2011,"0,8"
3007000,2011,"0,0"
3008000,2011,"1,6"
3009000,2011,"0,1"
3010000,2011,"1,0"
3011000,2011,"1,0"
3012000,2011,"0,6"
3013000,2011,"5,4"
3014000,2011,"0,5"
3015000,2011,"3,4"
3016000,2011,"1,3"
3017000,2011,"1,7"
3018000,2011,"1,2"
3019000,2011,"3,2"
3020000,2011,"2,8"
3021000,2011,"3,1"
3022000,2011,"0,7"
3023000,2011,"0,7"
3024000,2011,"3,2"
3025000,2011,"1,1"
3026000,2011,"1,7"
3027000,2011,"1,6"
3028000,2011,"1,8"
3029000,2011,"4,2"
3030000,2011,"0,5"
3031000,2011,"2,1"
3061000,2011,"2,3"
3062000,2011,"2,5"
3063000,2011,"4,6"
3064000,2011,"1,9"
3201000,2011,"0,0"
3202000,2011,"0,7"
3203000,2011,"0,1"
3204000,2011,"0,5"
3205000,2011,"0,9"
3206000,2011,"0,2"
3207000,2011,"10,0"
3208000,2011,"2,9"
3209000,2011,"4,9"
3210000,2011,"0,1"
3211000,2011,"1,8"
3212000,2011,"1,4"
3213000,2011,"1,1"
3214000,2011,"4,9"
3215000,2011,"2,4"
3216000,2011,"5,9"
3217000,2011,"0,5"
3218000,2011,"0,0"
3261000,2011,"3,0"
3262000,2011,"2,0"
3263000,2011,"5,1"
201000,2012,"1,3"
202000,2012,"8,8"
203000,2012,"1,3"
204000,2012,"0,0"
205000,2012,"0,0"
208000,2012,"0,4"
209000,2012,"1,1"
211000,2012,"1,8"
212000,2012,"1,6"
213000,2012,"7,3"
214000,2012,"1,1"
215000,2012,"1,6"
216000,2012,"1,0"
217000,2012,"0,4"
218000,2012,"0,1"
219000,2012,"0,9"
220000,2012,"1,5"
221000,2012,"0,3"
222000,2012,"2,5"
223000,2012,"0,4"
224000,2012,"0,3"
225000,2012,"2,0"
226000,2012,"6,6"
261000,2012,"4,8"
262000,2012,"2,8"
264000,2012,"3,2"
265000,2012,
401000,2012,"1,0"
402000,2012,"0,5"
403000,2012,"6,1"
404000,2012,"2,2"
405000,2012,"3,3"
406000,2012,"1,1"
407000,2012,"2,4"
408000,2012,"0,0"
409000,2012,"1,7"
410000,2012,"0,0"
411000,2012,"0,5"
412000,2012,"0,0"
413000,2012,"3,1"
414000,2012,"1,2"
415000,2012,"8,6"
416000,2012,"1,7"
417000,2012,"0,5"
418000,2012,"0,5"
419000,2012,"0,9"
461000,2012,"1,9"
462000,2012,"3,7"
463000,2012,"3,3"
464000,2012,"3,2"
601000,2012,"3,0"
602000,2012,"0,9"
603000,2012,"0,4"
604000,2012,"0,3"
605000,2012,"0,3"
606000,2012,"0,1"
607000,2012,"0,8"
608000,2012,"0,5"
609000,2012,"0,1"
610000,2012,"1,2"
611000,2012,"1,1"
612000,2012,"0,1"
613000,2012,"0,0"
614000,2012,"2,7"
615000,2012,"1,0"
616000,2012,"2,2"
617000,2012,"0,6"
618000,2012,"3,5"
619000,2012,"1,9"
620000,2012,"0,2"
661000,2012,"1,1"
662000,2012,"0,9"
663000,2012,"1,9"
664000,2012,"4,4"
801000,2012,"10,3"
802000,2012,"5,3"
803000,2012,"2,3"
804000,2012,"4,9"
805000,2012,"4,3"
806000,2012,"3,1"
807000,2012,"6,6"
808000,2012,"1,8"
809000,2012,"2,9"
810000,2012,"1,1"
811000,2012,"4,4"
812000,2012,"0,5"
861000,2012,"1,6"
862000,2012,"3,3"
1001000,2012,"8,4"
1002000,2012,"1,7"
1003000,2012,"1,8"
1004000,2012,"0,0"
1005000,2012,"0,3"
1006000,2012,"2,1"
1007000,2012,"1,1"
1008000,2012,"0,9"
1009000,2012,"2,0"
1010000,2012,"0,1"
1011000,2012,"2,5"
1012000,2012,"0,3"
1013000,2012,"0,0"
1014000,2012,"0,5"
1015000,2012,"1,3"
1016000,2012,"0,9"
1017000,2012,"1,1"
1018000,2012,"2,6"
1019000,2012,"4,7"
1020000,2012,"0,4"
1021000,2012,"0,0"
1061000,2012,"1,1"
1062000,2012,"2,6"
1063000,2012,"3,5"
1201000,2012,"0,3"
1202000,2012,"0,0"
1203000,2012,"0,2"
1204000,2012,"0,0"
1205000,2012,"0,0"
1206000,2012,"0,0"
1208000,2012,"0,1"
1209000,2012,"0,1"
1210000,2012,"0,1"
1211000,2012,"0,5"
1212000,2012,"0,0"
1213000,2012,"1,3"
1214000,2012,"0,0"
1215000,2012,"0,2"
1216000,2012,"0,2"
1217000,2012,"0,2"
1218000,2012,"0,1"
1219000,2012,"0,6"
1261000,2012,"1,8"
1262000,2012,"0,8"
1263000,2012,"4,7"
1401000,2012,"1,4"
1402000,2012,"0,8"
1403000,2012,"0,6"
1404000,2012,"2,4"
1405000,2012,"0,7"
1406000,2012,"0,5"
1407000,2012,"0,8"
1408000,2012,"1,5"
1409000,2012,"0,0"
1410000,2012,"0,0"
1411000,2012,"0,4"
1412000,2012,"0,7"
1413000,2012,"1,9"
1414000,2012,"3,7"
1415000,2012,"6,5"
1416000,2012,"6,7"
1417000,2012,"2,1"
1418000,2012,"1,0"
1419000,2012,"1,9"
1420000,2012,"1,3"
1421000,2012,"0,9"
1422000,2012,"2,6"
1423000,2012,"0,4"
1424000,2012,"0,0"
1425000,2012,"1,0"
1426000,2012,"1,6"
1427000,2012,"0,1"
1428000,2012,"1,3"
1429000,2012,"0,7"
1430000,2012,"0,0"
1432000,2012,"2,2"
1433000,2012,"1,4"
1434000,2012,"0,9"
1435000,2012,"2,7"
1436000,2012,"0,4"
1437000,2012,"1,7"
1438000,2012,"0,9"
1461000,2012,"3,0"
1462000,2012,"1,0"
1463000,2012,"1,6"
1464000,2012,"3,5"
1465000,2012,"1,9"
1601000,2012,"0,2"
1602000,2012,"0,0"
1603000,2012,"1,8"
1604000,2012,"0,6"
1605000,2012,"7,8"
1606000,2012,"0,7"
1607000,2012,"4,8"
1608000,2012,"0,4"
1609000,2012,"1,9"
1610000,2012,"2,3"
1611000,2012,"9,9"
1661000,2012,"2,7"
1802000,2012,"0,0"
1803000,2012,"3,1"
1804000,2012,"0,0"
1805000,2012,"0,0"
1806000,2012,"9,3"
1808000,2012,"0,5"
1809000,2012,"1,2"
1810000,2012,"0,0"
1811000,2012,"1,8"
1812000,2012,"0,3"
1813000,2012,"0,2"
1815000,2012,"0,3"
1816000,2012,"0,3"
1818000,2012,"3,1"
1819000,2012,"0,0"
1820000,2012,"0,0"
1821000,2012,"9,3"
1861000,2012,"2,9"
1862000,2012,"1,7"
1863000,2012,"4,5"
1864000,2012,"2,1"
2001000,2012,"3,0"
2002000,2012,"2,1"
2003000,2012,"2,3"
2004000,2012,"0,9"
2005000,2012,"2,5"
2006000,2012,"0,6"
2007000,2012,"0,0"
2009000,2012,"0,0"
2010000,2012,"0,6"
2011000,2012,"0,0"
2012000,2012,"0,2"
2013000,2012,"0,0"
2014000,2012,"0,6"
2061000,2012,"2,5"
2062000,2012,"3,1"
2063000,2012,"6,4"
2201000,2012,"3,1"
2202000,2012,"3,0"
2203000,2012,"5,9"
2204000,2012,"2,8"
2205000,2012,"0,0"
2206000,2012,"3,3"
2207000,2012,"3,9"
2208000,2012,"2,8"
2209000,2012,"4,6"
2210000,2012,"0,8"
2211000,2012,"7,6"
2212000,2012,"3,4"
2213000,2012,"2,1"
2214000,2012,"1,2"
2215000,2012,"1,5"
2216000,2012,"2,7"
2261000,2012,"2,7"
2262000,2012,"1,5"
2263000,2012,"3,0"
2264000,2012,"4,2"
2401000,2012,"2,5"
2402000,2012,"0,8"
2403000,2012,"1,7"
2404000,2012,"1,2"
2405000,2012,"1,0"
2406000,2012,"0,4"
2407000,2012,"3,8"
2408000,2012,"0,0"
2409000,2012,"0,3"
2410000,2012,"0,3"
2411000,2012,"0,8"
2412000,2012,"0,2"
2413000,2012,"0,8"
2414000,2012,"2,9"
2415000,2012,"0,8"
2416000,2012,"1,7"
2417000,2012,"0,1"
2461000,2012,"1,0"
2462000,2012,"1,7"
2463000,2012,"1,3"
2464000,2012,"1,5"
2465000,2012,"0,4"
2466000,2012,"5,0"
2467000,2012,"1,8"
2468000,2012,"0,9"
2469000,2012,"1,8"
2470000,2012,"0,1"
2471000,2012,"0,5"
2472000,2012,"0,3"
2473000,2012,"4,6"
2474000,2012,"0,2"
2475000,2012,"0,5"
2476000,2012,"0,9"
2477000,2012,"2,2"
2478000,2012,"0,6"
2479000,2012,"0,2"
2601000,2012,"0,4"
2602000,2012,"0,5"
2603000,2012,"0,0"
2604000,2012,"1,1"
2605000,2012,"0,4"
2606000,2012,"0,0"
2607000,2012,"2,8"
2609000,2012,"0,1"
2610000,2012,"0,4"
2611000,2012,"0,5"
2612000,2012,"1,5"
2613000,2012,"0,1"
2661000,2012,"0,9"
2801000,2012,"0,6"
2802000,2012,"0,4"
2803000,2012,"0,2"
2804000,2012,"0,6"
2805000,2012,"1,2"
2806000,2012,"1,4"
2807000,2012,"2,8"
2808000,2012,"0,5"
2809000,2012,"2,9"
2810000,2012,"1,5"
2811000,2012,"3,5"
2812000,2012,"0,3"
2813000,2012,"0,8"
2814000,2012,"0,7"
2815000,2012,"0,4"
2816000,2012,"7,4"
2817000,2012,"2,4"
2818000,2012,"0,9"
2819000,2012,"1,5"
2861000,2012,"2,9"
2862000,2012,"2,3"
3001000,2012,"1,6"
3002000,2012,"2,6"
3003000,2012,"1,9"
3004000,2012,"2,6"
3005000,2012,"3,4"
3006000,2012,"1,4"
3007000,2012,"0,0"
3008000,2012,"2,4"
3009000,2012,"0,3"
3010000,2012,"2,2"
3011000,2012,"4,0"
3012000,2012,"0,2"
3013000,2012,"7,1"
3014000,2012,"1,4"
3015000,2012,"4,3"
3016000,2012,"1,6"
3017000,2012,"2,4"
3018000,2012,"1,2"
3019000,2012,"3,3"
3020000,2012,"3,8"
3021000,2012,"3,1"
3022000,2012,"0,8"
3023000,2012,"1,0"
3024000,2012,"2,5"
3025000,2012,"1,2"
3026000,2012,"1,7"
3027000,2012,"1,6"
3028000,2012,"1,8"
3029000,2012,"4,7"
3030000,2012,"1,0"
3031000,2012,"2,3"
3061000,2012,"2,4"
3062000,2012,"3,3"
3063000,2012,"5,1"
3064000,2012,"2,2"
3201000,2012,"0,6"
3202000,2012,"0,7"
3203000,2012,"0,2"
3204000,2012,"0,5"
3205000,2012,"3,9"
3206000,2012,"2,1"
3207000,2012,"7,4"
3208000,2012,"6,7"
3209000,2012,"5,2"
3210000,2012,"1,5"
3211000,2012,"3,2"
3212000,2012,"1,4"
3213000,2012,"1,6"
3214000,2012,"3,5"
3215000,2012,"2,4"
3216000,2012,"6,0"
3217000,2012,"1,7"
3218000,2012,"0,0"
3261000,2012,"3,2"
3262000,2012,"2,1"
3263000,2012,"5,4"
201000,2013,"1,6"
202000,2013,"3,3"
203000,2013,"1,4"
204000,2013,"0,4"
205000,2013,"0,0"
208000,2013,"0,5"
209000,2013,"1,9"
211000,2013,"3,1"
212000,2013,"3,6"
213000,2013,"2,2"
214000,2013,"1,0"
215000,2013,"1,8"
216000,2013,"1,5"
217000,2013,"0,5"
218000,2013,"2,0"
219000,2013,"0,9"
220000,2013,"1,4"
221000,2013,"1,4"
222000,2013,"6,7"
223000,2013,"0,9"
224000,2013,"1,8"
225000,2013,"2,4"
226000,2013,"4,4"
261000,2013,"5,0"
262000,2013,"2,8"
264000,2013,"3,3"
265000,2013,"0,7"
401000,2013,"3,5"
402000,2013,"0,5"
403000,2013,"8,5"
404000,2013,"3,9"
405000,2013,"4,5"
406000,2013,"1,9"
407000,2013,"2,2"
408000,2013,"0,0"
409000,2013,"1,7"
410000,2013,"0,1"
411000,2013,"1,6"
412000,2013,"0,8"
413000,2013,"3,3"
414000,2013,"1,4"
415000,2013,"4,7"
416000,2013,"2,3"
417000,2013,"2,7"
418000,2013,"1,7"
419000,2013,"1,1"
461000,2013,"2,1"
462000,2013,"4,2"
463000,2013,"3,9"
464000,2013,"3,3"
601000,2013,"2,4"
602000,2013,"2,1"
603000,2013,"0,4"
604000,2013,"0,3"
605000,2013,"0,5"
606000,2013,"0,2"
607000,2013,"0,8"
608000,2013,"2,6"
609000,2013,"0,1"
610000,2013,"1,4"
611000,2013,"3,3"
612000,2013,"0,1"
613000,2013,"0,0"
614000,2013,"1,0"
615000,2013,"0,6"
616000,2013,"2,5"
617000,2013,"1,2"
618000,2013,"3,7"
619000,2013,"4,9"
620000,2013,"0,3"
661000,2013,"1,2"
662000,2013,"0,9"
663000,2013,"2,3"
664000,2013,"4,9"
801000,2013,"10,1"
802000,2013,"5,4"
803000,2013,"2,8"
804000,2013,"4,9"
805000,2013,"6,1"
806000,2013,"5,1"
807000,2013,"9,3"
808000,2013,"4,2"
809000,2013,"4,4"
810000,2013,"1,4"
811000,2013,"5,1"
812000,2013,"0,7"
861000,2013,"1,6"
862000,2013,"0,6"
1001000,2013,"8,6"
1002000,2013,"1,7"
1003000,2013,"1,9"
1004000,2013,"0,3"
1005000,2013,"0,6"
1006000,2013,"3,0"
1007000,2013,"1,3"
1008000,2013,"0,7"
1009000,2013,"2,0"
1010000,2013,"1,0"
1011000,2013,"5,7"
1012000,2013,"0,8"
1013000,2013,"0,4"
1014000,2013,"1,1"
1015000,2013,"1,7"
1016000,2013,"2,5"
1017000,2013,"0,7"
1018000,2013,"3,5"
1019000,2013,"5,1"
1020000,2013,"0,9"
1021000,2013,"0,0"
1061000,2013,"1,2"
1062000,2013,"2,8"
1063000,2013,"4,0"
1201000,2013,"0,3"
1202000,2013,"0,0"
1203000,2013,"0,2"
1204000,2013,"0,8"
1205000,2013,"0,0"
1206000,2013,"0,0"
1208000,2013,"0,1"
1209000,2013,"0,4"
1210000,2013,"0,2"
1211000,2013,"1,0"
1212000,2013,"0,0"
1213000,2013,"1,1"
1214000,2013,"0,0"
1215000,2013,"0,2"
1216000,2013,"0,3"
